SMILES,measured log(solubility:mol/L)
O=S1OC[C@@H]2[C@H](CO1)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,-5.9
ClC1=C(Cl)C2(Cl)[C@H]3CO[S](=O)OC[C@H]3[C@]1(Cl)C2(Cl)Cl,-5.9
ClC1=C(Cl)[C@@]2(Cl)C3COS(=O)OCC3[C@@]1(Cl)C2(Cl)Cl,-5.9
ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl,-5.94
ClC1=C(Cl)C2(Cl)[C@@H]3COS(=O)OC[C@@H]3C1(Cl)C2(Cl)Cl,-5.96
ClC1=C(Cl)[C@@]2(Cl)[C@H]3COS(=O)OC[C@H]3C1(Cl)C2(Cl)Cl,-6.02
[H]C1([H])OS(=O)OC([H])([H])C2([H])C1([H])C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-6.03
CCCCC(C)CCC,-6.05
CCCC[C@H](C)CCC,-6.05
ClC1=C(Cl)C2(Cl)[C@@H]3COS(=O)OC[C@H]3C1(Cl)C2(Cl)Cl,-6.08
ClC1=C(Cl)[C@@]2(Cl)[C@@H]3COS(=O)OC[C@@H]3[C@@]1(Cl)C2(Cl)Cl,-6.08
CCOC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,-7.29
NCc1ccc(CN)cc1,1.18
CNC(=O)[C@@H](C)SCCSP(=O)(OC)OC,1.14
CCOC(=O)N1CCN(C)CC1,1.13
NCCNCCNCCNCCN,1.13
COC1COC2C(COC12)OC,1.06
CNCC1=CC=CC=C1,0.92
CC(C)COC(C)(C)C,0.89
CNC(=O)C(C)SCCSP(=O)(OC)OC,0.84
OC(=O)CC1=CC(O)=CC=C1,0.82
O=C(C1=CCCN(C)C1)OC,0.81
CCOCCOCCOCC,0.79
CCCCOCCOCCO,0.79
CC(O)CCOCCC(C)O,0.79
CCC(O)CNCC(O)CC,0.79
Cc1cccc(c1C)[S](O)(=O)=O,0.78
CCOC(=O)N1CCC(=O)CC1,0.77
CC1CC(OC(C)=O)OC(C)O1,0.76
OCCOCC#CCOCCO,0.76
CCOCCOCCOC(C)=O,0.75
COCCOCCOCCOC,0.75
CCOCCOCCOCCO,0.75
OCCOCCOCCOCCO,0.71
C1=CC2=C(C=C1)N=CC=N2,0.71
OC(=O)CC1=C(O)C=CC(O)=C1,0.71
CCSC(=O)NCCCN(C)C,0.67
O=C1CCCCCCCN1,0.63
COP(=O)(OC)O\C(C)=C/C(=O)N(C)C,0.62
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,0.62
OC(=O)C1=CC(C(O)=O)=C(C=C1)S(O)(=O)=O,0.61
CCCCCC(C(O)=O)C(O)=O,0.59
CC(C)C(=O)OC(=O)C(C)C,0.59
CCOC1=C(O)C(=O)O[C@@H]1[C@@H](O)CO,0.58
CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,0.54
CCOP(=O)(OCC)OP(=O)(OCC)OCC,0.54
CNC(=O)CCSCCS[P](=O)(OC)OC,0.54
CN(C)C(=O)CCC(=O)N(C)C,0.5
CN(C)CCOC(=O)C(C)=C,0.5
CCCC[C@H](N(C)C)C(O)=O,0.49
CC1=NC=C(CO)C(C=O)=C1O,0.48
CC1=C(O)C(CN)=C(CO)C=N1,0.47
[#6]C1=C(O)C(C[#7])=C(CO)C=[NH0]1,0.47
OC(=O)CN(CCC#N)CCC#N,0.46
[#6]C1=[NH0]C=C(CO)C(C=O)=C1O,0.39
CCC(=O)NCCNC(=O)CC,0.38
CC(CC(O)=O)SC(C)CC(O)=O,0.38
CN(C)C1=NC=C2N=CC=NC2=N1,0.36
[#6]N([#6])C1=[NH0]C2=[NH0]C=C[NH0]=C2C=[NH0]1,0.36
CN(C)C1=CC=CC(=C1)S(O)(=O)=O,0.3
O[C@H](C(O)=O)C1=CC=CC=C1,0.16
CC(=O)NC1=CC=C(OP(O)(=O)O)C=C1,0.13
NCCC1=CC(O)=C(O)C=C1,0.12
CCOC(CC(C)O)OCC,0.09
CN1C=NC2=C1C(NCCO)=NC(=O)N2,0.08
OCC1=C(CO)C=CC=C1,0.06
COC(OC)\C=C/C(OC)OC,0.06
COC(OC)\C=C\C(OC)OC,0.06
NCC1CCC(CC1)C(O)=O,0.03
[#6]C1=C(O)C(CO)=C(CO)C=[NH0]1,0.03
CC1CN(C(C)CN1C(N)=N)C(N)=N,0.02
CN(C)C1=NC2=NC=NC=C2N=C1,-0.02
C1CNCCNCCNCCN1,-0.03
OC(=O)C(O)c1ccccc1,-0.03
OS(=O)(=O)OCCOC1=C(Cl)C=C(Cl)C=C1,-0.06
CC(CC(C)(C(O)=O)C(O)=O)C(O)=O,-0.1
CCOC(=O)CC1(C)OCCO1,-0.14
O[C@@H](C(O)=O)c1ccccc1,-0.14
CC(=C)C(=O)OC(=O)C(C)=C,-0.2
COC1=C(O)C=CC(C=O)=C1N,-0.22
OCC1=CC(CO)=CC=C1,-0.23
Nc1ccc(OCCO)c(N)c1,-0.23
NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.24
[#7]C(=O)C1=[NH0][NH0](C=[NH0]1)C1OC(CO)C(O)C1O,-0.24
NC(=O)C1=NN(C=N1)C1OC(CO)C(O)C1O,-0.24
OC(=O)CC(C(CC(O)=O)C(O)=O)C(O)=O,-0.24
COC1OC(C(O)C(O)C1O)C(=O)OC,-0.26
O=C(C(C2OC1CC2)C1C(O)=O)O,-0.27
OC(=O)[C@H]1[C@@H]2CC[C@@H](O2)[C@H]1C(O)=O,-0.27
NCCc1ccccc1,-0.28
C=CC(=O)OCC1CCCO1,-0.3
CC1=CC=C(O)C(CO)=C1,-0.31
CCCC[C@@H](NC(C)=O)C(O)=O,-0.34
NC(OCc1ccccc1)=O,-0.35
CCOC(=O)CCCCC(O)=O,-0.36
CC1(C)C(O)C(C)(C)C1O,-0.37
OC(=O)C(=O)C1=CC=CC=C1,-0.37
CCCCCNC(=O)C(C)O,-0.38
CCCCCNC(=O)[C@H](C)O,-0.38
OCC1=CC=C(CO)C=C1,-0.39
CC1=CC=CC(CO)=C1,-0.39
OC(=O)CC1=CC=C(O)C=C1,-0.4
CN1C2=C(N(CO)C=N2)C(=O)N(C)C1=O,-0.41
c1[n][n]cc2ccccc21,-0.42
CC(CCC(C)C(O)=O)C(O)=O,-0.42
CCOC(=O)C1=CC=CN=C1,-0.43
CC(C)CC(NC(=O)CN)C(O)=O,-0.43
CC(C)C[C@H](NC(=O)CN)C(O)=O,-0.43
[#6]COC(=O)C1=CC=C[NH0]=C1,-0.43
O=S(=O)(N1CCCC1)N1CCCC1,-0.44
COC(C)(C)CCOC(C)=O,-0.44
O[C@@H](C(O)=O)c1ccccc1Cl,-0.44
CC(CC1CCCCN1)=O,-0.45
C=CN1CCCCCC1=O,-0.45
CCC(CCC(O)=O)C(C)=O,-0.45
CC(=O)C[C@@H]1CCCCN1,-0.45
OCC(=O)NC1=CC=CC=C1,-0.45
C[C@H](N)C1=CC=CC=C1,-0.46
CC(N)c1ccccc1,-0.46
CC1=NC2=C(N=CN=C2)N=C1C,-0.46
OCCNC1=CC=CC=C1,-0.47
NCC(O)c1ccccc1,-0.48
NC[C@H](O)C1=CC=CC=C1,-0.48
CC(C)C(Br)C(=O)NC(C)C(O)=O,-0.48
OC(=O)CC(SC(CC(O)=O)C(O)=O)C(O)=O,-0.49
CC(SC1=CC=CC=C1)S(O)(=O)=O,-0.49
CCCCC(NC(C)=O)C(O)=O,-0.51
COC(=O)CC(C(C)=O)C(=O)OC,-0.52
OCNC(=O)C1=CC=CC=C1,-0.52
NC(C(O)=O)C1=CC=C(O)C=C1,-0.53
Cc1cc(C)[n]c(C)c1,-0.54
CCC[C@H](O)[C@@H](CC)CO,-0.54
CN1C(C)=NC2=C1C(=O)NC(=O)N2C,-0.54
[#6][NH0]1C([#6])=[NH0]C2=C1C(=O)NC(=O)N2[#6],-0.54
[#6]C1=CC([#6])=[NH0]C([#6])=C1,-0.54
CCOC(=O)[C@@H](N)CC(C)C,-0.56
CCOC(=O)C(N)CC(C)C,-0.56
Cc1ccc(cc1N)C(N)=O,-0.58
CC1=NC(C)=C(C)C=C1,-0.59
[#6]C1=CC=C([#6])C([#6])=[NH0]1,-0.59
OC(=O)CCN1C=CC=CC1=O,-0.6
NNC(=O)C1=CC2=C(OCO2)C=C1,-0.6
CC[C@H](C)[C@@H](NC(C)=O)C(O)=O,-0.62
CC1(O)CCC(C)(O)CC1,-0.62
CCCOC(=O)C(C)OC(C)=O,-0.64
CCCCOCNC(=O)C=C,-0.65
CC1=C(CCC(O)=O)C(=O)NC1=O,-0.66
CCCCOC(=O)\C=C/C(O)=O,-0.67
CCOCCOC(C)(C)C,-0.69
CCC(SC(CC)C(O)=O)C(O)=O,-0.7
OC1(CCCCC1)C#C,-0.7
CC(C)CN1CCOCC1,-0.71
O=C1OC(=O)C2CC=CCC12,-0.71
C1NC=NC2=C1C=CC=C2,-0.72
CC(C)COC(=O)C(C)(C)O,-0.73
CN1C(=O)N(C)c2nc(C)[nH]c2C1=O,-0.73
CN1C2=C(N=C(C)N2)C(=O)C(N)C1=O,-0.73
O=CC(=O)C1=CC=CC=C1,-0.74
CNCC(CC=C)(C(O)=O)C(O)=O,-0.75
CCCCS(=O)(=O)NS(=O)(=O)CCCC,-0.76
NC1=NN=C(O1)C1=CC=C(O)C=C1,-0.77
CCC(=O)OCN1C(=O)NC=C(F)C1=O,-0.77
CC1=CC(C)=C(C)C=N1,-0.78
CC(=O)OCC(=C)COC(C)=O,-0.78
[#6]C1=CC([#6])=C([#6])C=[NH0]1,-0.78
CC(C)C(O)C(C)(C)CO,-0.78
CCN(CC)C(=O)CCC(O)=O,-0.79
CC1CC=C(C(C)O1)C(O)=O,-0.8
CCC(CC)(CC(O)=O)C(O)=O,-0.8
CCC(=O)OCN1C=C(F)C(=O)NC1=O,-0.81
NS(=O)(=O)C1=CC2=C(C=C1C(F)(F)F)N=CNS2(=O)=O,-0.82
CCC1=CC=CC(C)=N1,-0.82
NS(=O)(=O)C1=C(C=C2NC=NS(=O)(=O)C2=C1)C(F)(F)F,-0.82
CC(=O)OC[C@@H](OC(C)=O)C=C,-0.82
[#6]CC1=CC=CC([#6])=[NH0]1,-0.82
CC(O)(CCC(C)(O)C(O)=O)C(O)=O,-0.84
OC(=O)CCC(=O)OOC(=O)CCC(O)=O,-0.85
CCC[C@H]1CCCCN1,-0.85
CCOc1ccc(N)cc1,-0.86
O=C1OCc2ccccc12,-0.86
COC(=O)\C=C\C(\C)=C\C(O)=O,-0.87
OC(=O)C1CCC(CC1)C(O)=O,-0.87
CC(C(C(C)=O)CCC)=O,-0.88
OC(Cc1ccccc1)=O,-0.89
CC(C)C(O)C(C)(C)C(O)=O,-0.9
CC1CCCCC1(O)C(O)=O,-0.9
C[C@H](O)C1=CC=CC=C1,-0.92
CNC(=O)C1=CC=CC=C1,-0.92
CO\C(=C/C(O)=O)C(=O)C(C)=C,-0.93
COC(=CC(O)=O)C(=O)C(C)=C,-0.93
CO\C(=C\C(O)=O)C(=O)C(C)=C,-0.93
CCC(C)C(NC(C)=O)C(O)=O,-0.94
C=CCN(CC=C)C(=O)CCl,-0.95
NC(NCc1ccccc1)=O,-0.95
COc1cccc(OC)c1O,-0.95
O=C(CCC(OCC)=O)OCC,-0.96
[O-][P+]1(NCCCCO1)N(CCCl)CCCl,-0.96
CCCC(O)C(CC)CO,-0.965
O=C(N(C)c2c1n(C)cn2)N(C)C1=O,-0.97
[#6][NH0]1C=[NH0]C2=C1C(=O)N([#6])C(=O)N2[#6],-0.97
CCOCCOC(=O)C(C)=C,-0.97
CCCOP(=O)(OCC)OCCC,-0.98
CC(=O)NC1=C(C=CC(Cl)=C1)[N+]([O-])=O,-0.98
CC(=O)OCCSCCOC(C)=O,-0.98
OC(=O)c1cccc(Cl)c1C(O)=O,-0.98
CC(Nc1ccc(N)cc1)=O,-0.98
CCC1=CN=C(C)C=C1,-1
CCCC(=O)NNC(=O)CCC,-1
[#6]CC1=CC=C([#6])[NH0]=C1,-1
CCOC(=O)C1=COC(=O)C=C1,-1
FC1=CN(C2CCCO2)C(=O)NC1=O,-1.01
CCCC1CCCNC1,-1.01
CN(C)C1=C2N=CC=NC2=NC=N1,-1.02
[O-][N+](=O)c1cccc(c1C(O)=O)C(O)=O,-1.02
[#6]N([#6])C1=[NH0]C=[NH0]C2=[NH0]C=C[NH0]=C12,-1.02
c12ccccc1NCC2,-1.04
CC(C)CC(C)(O)C#C,-1.04
C=COCCOCCOC=C,-1.05
CC(C(CC=C)C(O)=O)C(O)=O,-1.06
CC(=O)NC1=CC=CC(O)=C1,-1.06
CC(C)N(CCO)C(C)C,-1.08
NC1=NC=C2N=CN(COCCO)C2=N1,-1.08
N#CCCCCCCC#N,-1.08
[#7]C1=[NH0]C=C2[NH0]=C[NH0](COCCO)C2=[NH0]1,-1.08
CCOC(=O)\C=C/C(=O)OCC,-1.09
CC1=CC(C)=C(C=C1)P(O)(O)=O,-1.09
CCCCOP(O)(=O)OCCCC,-1.09
CC1=CC=CC=C1CO,-1.09
CCOC(=O)\C=C\C(=O)OCC,-1.09
O=C1NC(=O)C2CC=CCC12,-1.09
O=C(O)COc1ccccc1,-1.1
CN(C)C1=CC=C(C=C1)\N=N\S(O)(=O)=O,-1.1
CC(C)C(NCCC#N)C(O)=O,-1.12
NCCc1ccc(O)cc1,-1.12
CC(=O)c1ccc(O)cc1,-1.14
CCN(CC)S(=O)(=O)N(CC)CC,-1.14
COc1cc(C=O)ccc1O,-1.14
O=C1NC=CC2=CC=CN=C12,-1.14
OCNC(=S)C1=CC=CC=C1,-1.14
COC1=CC=C(C=C1)C(=O)NN,-1.15
CCCCOP(=O)(OCC)OCC,-1.15
FC(F)(F)C(=O)C1=CC=CC=C1,-1.16
OCCC1=CC=C(O)C(=C1)N(=O)=O,-1.16
CC1(CC=C)C(=O)NC(=O)NC1=O,-1.16
CCC(C(CC)C(O)=O)C(O)=O,-1.16
CCCC1NCCCC1,-1.16
CCCCCCOCCO,-1.17
CC1=CC=CC(C)=C1N,-1.17
CCOc1ccccc1O,-1.17
CCOP(=O)(OCC)OCC(C)C,-1.18
CCCC1OC1(CC)C(N)=O,-1.18
CCC[C@H]1O[C@]1(CC)C(N)=O,-1.18
Oc1ccc(C)cc1C,-1.19
CCC1=CC=C(N)C=C1,-1.19
CC1=CC=C(C=C1)C(N)=O,-1.19
OCc1ccc(C)cc1,-1.2
CCCCCOC(=O)C(C)O,-1.2
CC(C)CCOCC(O)CO,-1.21
CCCCOC(=O)CCOC,-1.21
NS(=O)(=O)C1=NN=C(NS(=O)(=O)C2=C(F)C(F)=C(F)C(F)=C2F)S1,-1.21
CC(C)(C)S(=O)(=O)C(C)(C)C,-1.22
CC(=O)Nc1ccc(N)c(c1)[S](O)(=O)=O,-1.23
CC(C)CC(NC(C)=O)C(O)=O,-1.23
O=C(c(cc1O)cc(O)c1O)OC,-1.24
CNC(=O)C1=CC=C(N)C=C1,-1.24
CCN(C(C)C)C(C)C,-1.24
CCCCOCCOC(C)=O,-1.25
OC(=O)C1=CC=NC(C(O)=O)=C1C(O)=O,-1.25
COC1(C)COC(C)(CO1)OC,-1.25
CC(C)CC1NC(=O)CNC1=O,-1.25
CNC(=O)NC1=CC=CC=C1,-1.26
CC(C)(C)C(C)(O)CC,-1.27
CC[C@](C)(O)C(C)(C)C,-1.27
N[C@H](C(O)=O)C1=CC=CC=C1,-1.27
CCN(CC)S(=O)N(CC)CC,-1.28
CC(c1ccccc1)=O,-1.28
CC(c1cc(N)ccc1)=O,-1.28
CCCC(=O)N1C(=O)NC=C(F)C1=O,-1.28
OC(c1ccccc1C(O)=O)=O,-1.288
CCCCOCCC(=O)OC,-1.29
CCOC1=CC=C(O)C=C1,-1.29
CCCCCCC(O)CO,-1.29
COC1=CC=C(CO)C=C1,-1.29
OC(=O)C(=O)NC1=CC=CC=C1,-1.3
OC(=O)CCC(NCCC#N)C(O)=O,-1.3
OC(=O)CC[C@H](NCCC#N)C(O)=O,-1.3
CCC(N)C(=O)NC(CC)C(O)=O,-1.3
Cc1c(O)c(C)ccc1,-1.31
O=C(Nc(cc1)ccc1O)C,-1.315
CC1CCC(C)C(=NO)C1=NO,-1.32
CC1CCC(C)\C(=N/O)\C\1=N/O,-1.32
CC(Nc1ccccc1)=O,-1.33
NC1=CC(=CC=C1S(=O)(=O)CCO)S(N)(=O)=O,-1.33
NS(=O)(=O)C1=NN=C(NS(=O)(=O)C2=CC=C(C=C2)[N+]([O-])=O)S1,-1.33
CC(C)C[C@@H](NC(C)=O)C(O)=O,-1.33
CC(C)C[C@H](NC(C)=O)C(O)=O,-1.33
OC(=O)CSC1CCCCC1,-1.34
OC(=O)C1=CC(C(O)=O)=C(C=C1)[N+]([O-])=O,-1.34
NCCC1=CC(=C(O)C=C1)N(=O)=O,-1.34
Cc1ccc(N)c(C)c1,-1.34
CC1=CC(N)=C(C)C=C1,-1.34
O=CC1=CC=CC=C1C=O,-1.34
CCC(CC)COC(C)=O,-1.35
OC1=CC=CC2=C1N=CC=N2,-1.35
O=C1C=CC=C2NC=CN=C12,-1.35
CCc(cccc1)c1O,-1.36
CC(c1ccccc1)O,-1.36
c1(cccc2)c2[nH]cc1,-1.365
CCCC\C(=C\C)C(N)=O,-1.37
CCCC\C(=C/C)C(N)=O,-1.37
CCCCC(=CC)C(N)=O,-1.37
CC(=O)Oc1ccccc1,-1.37
CS(=O)(=O)C1=CC=C(C=C1)C(N)=N,-1.38
O=S(NC(C)=O)(c1ccc(N)cc1)=O,-1.386666667
O=C(O2)c1ccccc1C2=O,-1.39
CCC1(CC)C(N)=NC(=O)NC1=O,-1.4
CC(Nc(cccc1)c1Cl)=O,-1.4
CCc1ccc(O)cc1,-1.4
CC1=CC=CC(NC(N)=O)=C1,-1.4
Cc1cc(C)cc(N)c1,-1.4
Cc(cc(O)cc1)c1C,-1.41
CN1CC2=C(C=CC=C2)S1(=O)=O,-1.41
CC(c1ccc(N)cc1)=O,-1.41
CCCCOP(=O)OCCCC,-1.42
Nc1cccc(c1)[S](=O)(=O)CCO[S](O)(=O)=O,-1.42
Cc(c(O)ccc1)c1C,-1.43
COC1=C(OC)C=CC=C1,-1.445
CN1C(=O)N(C)C2=C(N=CC=N2)C1=O,-1.46
NS(=O)(=O)C1=CC=C(SCCCCO)S1,-1.46
[#7]S(=O)(=O)C1=CC=C(SCCCCO)[SH0]1,-1.46
NS(=O)(=O)C1=NN=C(NS(=O)(=O)C2=CC(=CC=C2)[N+]([O-])=O)S1,-1.46
[#6]N1C(=O)N([#6])C2=C([NH0]=CC=[NH0]2)C1=O,-1.46
COC(=O)CCCCC(=O)OC,-1.46
CC[C@@H]([C@@H](CC)C(O)=O)C(O)=O,-1.46
CCOC(=O)OCN1C(=O)NC=C(F)C1=O,-1.46
CC(=O)C1=CC(O)=C(O)C(O)=C1,-1.47
CCC1(CCO)C(=O)NC(=S)NC1=O,-1.47
NS(=O)(=O)C1=CC=C(S1)S(=O)(=O)CCCCO,-1.48
CN1C(=O)C(C)=NC2=C1N=CN=C2,-1.49
[#6]N1C(=O)C([#6])=NC2=C1[NH0]=C[NH0]=C2,-1.49
CN(C=O)c1ccccc1,-1.49
CC1=C(C=CC(O)=C1)C(O)=O,-1.49
C=CS(=O)(=O)NC1=CC=CC=C1,-1.5
CC1=C(C)C=C(N)C=C1,-1.5
CCC[C@@H]1CCCCN1,-1.5
NC1=CC=C(C=C1)S(=O)(=O)NC1=NN=C(S1)S(N)(=O)=O,-1.5
CCCCNCCCC,-1.505
CCC(C)(OO)OOC(C)(CC)OO,-1.51
[NH3+][C@@H](C([O-])=O)c1ccccc1,-1.51
CN(Cc1ccccc1)N=O,-1.52
COC1=C(C=C(C)C=C1)S(N)(=O)=O,-1.53
OS(=O)(=O)CCSC1=CC=CC=C1,-1.53
CC1(C)CC(=O)CC(=O)C1,-1.53
Oc1cc(C)ccc1C,-1.54
NC1=CC=CC(=C1)S(=O)(=O)NC1=NN=C(S1)S(N)(=O)=O,-1.54
COc1ccccc1C(O)=O,-1.54
OCC1=CC=CC=C1C(O)=O,-1.55
CCCCC(=O)CC(=O)C,-1.56
COC1=CC=C(Cl)C(OC)=C1O,-1.56
CCC(CC)(C#N)C(=O)NC(N)=O,-1.56
O=C1OC(=O)C2CCCCC12,-1.56
O=C(O)c1c(OC)c(Cl)ccc1Cl,-1.56
CCCC(C)(O)CCC,-1.59
COc1ccc(cc1)NC(N)=O,-1.59
NS(=O)(=O)c1ccc(cc1)S(=O)(=O)CCO,-1.6
FC(F)(F)c1c(C(O)=O)cccc1,-1.6
CCCC[C@](C)(O)CC,-1.6
O=C(CC(C)=O)CC(C)C,-1.6
C1O[C@@H]1C1=CC=CC=C1,-1.6
OC(=O)CCCCCCC(O)=O,-1.605
CC(Nc(cccc1)c1O)=O,-1.606666667
COCC1=CC=CC=C1,-1.61
CC(C)C(=O)OOC(C)(C)C,-1.61
ClCC(=O)NC1=CC=CC=C1,-1.615
NS(=O)(=O)c1cc(F)c(cc1)SCCO,-1.62
O=C(N(CC=C)CC=C)C(Cl)Cl,-1.62
CC(C)=CCCC(C)=O,-1.62
CC(CC(C(C)(C)C)=O)=O,-1.63
O=Cc1cc(OCO2)c2cc1,-1.63
CCC(C)CC(=O)CC,-1.63
O=C(OC)NS(c1ccc(N)cc1)(=O)=O,-1.66
OC1=CN=CC2=C1N=CC=C2,-1.66
COc1ccc(C)cc1N,-1.66
CC(OC1CCCCC1)=O,-1.67
O=COCc1ccccc1,-1.67
CCC(C)(O)CCCC,-1.67
CC1=CC(Cl)=CC(C)=C1O,-1.68
OC(=O)CC1CCCCC1,-1.69
CCCCCC(=O)CC,-1.69
NC1=NC(=O)NN1C1=CC=CC=C1,-1.7
NCC(CC)CCCC,-1.71
CCCC[C@H](CC)CN,-1.71
CCC1NC(=O)C(CC)NC1=O,-1.71
COC(=O)C1=CC=CC=C1N,-1.72
Cc1ccc(C=O)cc1,-1.72
CC(O)(C)CCCCC,-1.72
CCCC[C@H](C)[C@@H](C)O,-1.72
CC(=O)NC1=CC=CC(F)=C1,-1.72
COC1=CC=CC(=C1)C(N)=O,-1.72
COC1=CC=C(C=C1)C(N)=O,-1.72
OCCCCCCC=C,-1.74
CNC1=NC(NC(C)C)=NC(OC)=N1,-1.75
[#6]NC1=[NH0]C(NC([#6])[#6])=[NH0]C(O[#6])=[NH0]1,-1.75
C1(c2ccccc2)CO1,-1.755
CC(Nc(cc1)ccc1F)=O,-1.766666667
OC(=O)CCC1CCCC1,-1.77
CC(C)CNCC(C)C,-1.77
COC1=CC=CC=C1C(N)=O,-1.78
CCNC1=NC(OC)=NC(NCC)=N1,-1.78
Oc1ccc(C(OC)=O)cc1,-1.78
COC1=C(C#N)C(=O)N(C)C=C1,-1.78
[#6]CNC1=[NH0]C(O[#6])=[NH0]C(NC[#6])=[NH0]1,-1.79
CC1=C(F)C=CC(NC(N)=O)=C1,-1.79
CNC(=O)OC1=CC=CC=C1,-1.8
CCC[C@H]1OC[C@@](C)(CO1)[N+]([O-])=O,-1.8
CCCC1OCC(C)(CO1)N(=O)=O,-1.8
O=C(c1ccc(N)cc1)OC,-1.805
CCCC[C@H](O)C(C)C,-1.81
CCCCC(O)C(C)C,-1.81
CC(=O)C1C(=O)C=C(C)OC1=O,-1.81
CCC(CC)(CC)NC(N)=O,-1.82
NS(=O)(=O)c1ccc(cc1)SCCO,-1.82
Cc1cc(C)c(N)c(c1)[S](O)(=O)=O,-1.82
CCCCCC(O)C=C,-1.82
NS(=O)(=O)C1=NN=C(NS(=O)(=O)C2=C(C=CC=C2)[N+]([O-])=O)S1,-1.82
Oc1c(cccc1)C(OC)=O,-1.825
CCCNC(=O)N1C=C(F)C(=O)NC1=O,-1.83
CCC1CC\C(=N\O)\C(\C1)=N\O,-1.83
CCC1CCC(=NO)C(=NO)C1,-1.83
CCCC(Br)(CCC)C(N)=O,-1.83
COc1ccc(C=O)cc1O,-1.83
CCCC(O)C(C)CC,-1.84
OCC(O)[C@H]1OC2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,-1.84
OC[C@@H](O)[C@@H]1O[C@H]2O[C@H](O[C@H]2[C@@H]1O)C(Cl)(Cl)Cl,-1.84
OC[C@@H](O)[C@H]1O[C@@H]2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,-1.84
OC[C@@H](O)[C@H]1O[C@@H]2O[C@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,-1.84
C12OC(C(Cl)(Cl)Cl)OC1(C(C(O2)C(O)(CO))O),-1.84
CCC[C@@H](O)[C@H](C)CC,-1.84
O=C(OC)c1ccccc1,-1.85
CCS(=O)CCSP(=S)(OCC)OCC,-1.86
O=C(O)C(CCC)CCC,-1.86
COc1ccc(OC)c(N)c1,-1.86
CC[C@H](C)C[C@H](O)CC,-1.86
CCC(C)CC(O)CC,-1.86
CCCC(C)CC(C)O,-1.88
COC1=CC(CO)=CC=C1O,-1.89
CC(O)C(C)CCCC,-1.89
O=C(C(CC)(CC)C(N1)=O)NC1=O,-1.895
O=N(c(cccc1)c1NC(C)=O)=O,-1.91
CCC(C)([S](=O)(=O)CC)[S](=O)(=O)CC,-1.91
Nc1ccc(cc1)[S](=O)(=O)CCO[S](O)(=O)=O,-1.91
CCC[C@H](O)CC(C)C,-1.91
CCCC(O)CC(C)C,-1.91
NS(=O)(c(cc1)ccc1NC(C)=O)=O,-1.91
OC(=O)C1=C(C(O)=O)C(Cl)=C(Cl)C(Cl)=C1Cl,-1.92
CCCCC(CC)C(O)=O,-1.92
NS(=O)(=O)c1cc(F)c(cc1)S(=O)(=O)CCO,-1.93
CCC(O)CCC(C)C,-1.93
CC[C@H](O)CCC(C)C,-1.93
COC1=CC(=CC=C1)C(O)=O,-1.93
OC(=O)COC1=CC=C(C=C1N(=O)=O)N(=O)=O,-1.94
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(O)=O,-1.94
OC(=O)[C@@H]1CCCC[C@H]1C(O)=O,-1.94
COC(=O)C=C1CCCC1,-1.94
ClCCS(=O)(=O)CCOCCS(=O)(=O)CCCl,-1.94
Cc2nc1ccccc1[nH]2,-1.96
CCCC(C)C(O)CC,-1.96
CCC[C@@H](C)[C@@H](O)CC,-1.96
O=C1NC(=O)C2=C1CCCC2,-1.97
Cc1cc2NC(=O)Nc2cc1N,-1.98
OC(=O)C1=CC=CC(C(O)=O)=C1N(=O)=O,-1.99
OC1(C2(C(NC(NC2=O)=O)=O)O)C(NC(NC1=O)=O)=O,-1.99
CC1=CC=C(C=C1)S(C)(=O)=O,-1.99
NS(=O)(=O)C1=NN=C(NS(=O)(=O)C2=CC(=C(Cl)C=C2)[N+]([O-])=O)S1,-1.99
OCCNc1ccccc1[N+]([O-])=O,-1.99
C=CCCCCCC=O,-2
OC(=O)COC1=C(C=CC=C1)[N+]([O-])=O,-2.01
NC(=N)NC(=N)NC1=CC=C(C=C1)S(O)(=O)=O,-2.01
OC(=O)c1cc(O)cc(c1)C(O)=O,-2.01
NS(=O)(=O)C1=NN=C(NS(=O)(=O)C2=CC=C(Cl)C=C2)S1,-2.01
CCCCCC[C@H](C)O,-2.01
CC(=O)C1=C(O)C(O)=C(O)C=C1,-2.02
CCCCC[C@H](O)CC,-2.02
CCCCC(O)CCC,-2.03
CC(=C)C(=O)OCC(C)C,-2.04
NC1=CC2=C(COC2=O)C=C1,-2.04
OC1=CC=CC2=CN=CN=C12,-2.04
